price,review_score,count,review_categ,count_categ,price_categ,Discount,cluster,Action_Need
101.65,5,1,Satisfied,1,3,20,0,Need_advertisement
129.9,4,1,Good,1,3,20,7,Reasonable
229.0,1,1,Not Satisfied,1,4,25,5,Not_Reasonable
58.9,5,2,Satisfied,1,2,20,4,Reasonable
199.0,5,1,Satisfied,1,4,10,6,Need_advertisement
52.0,1,1,Not Satisfied,1,2,50,2,Quality_Improvment
249.0,5,2,Satisfied,1,4,10,6,Need_advertisement
38.9,3,9,Not Bad,1,1,20,2,Quality_Improvment
78.9,5,1,Satisfied,1,2,20,4,Reasonable
34.99,4,14,Good,1,1,20,1,Need_advertisement
79.9,5,1,Satisfied,1,3,20,0,Need_advertisement
33.41285714285714,4,7,Good,1,1,20,1,Need_advertisement
202.7,3,7,Not Bad,1,4,20,3,Reasonable
29.0,5,1,Satisfied,1,1,20,1,Need_advertisement
75.44454545454545,4,11,Good,1,2,20,4,Reasonable
108.0,3,1,Not Bad,1,3,20,7,Reasonable
129.9,5,2,Satisfied,1,3,20,0,Need_advertisement
39.0,5,6,Satisfied,1,1,20,1,Need_advertisement
79.9,5,1,Satisfied,1,3,20,0,Need_advertisement
43.0,1,1,Not Satisfied,1,2,50,2,Quality_Improvment
16.0,5,1,Satisfied,1,1,20,1,Need_advertisement
39.9,5,1,Satisfied,1,1,20,1,Need_advertisement
153.0,4,2,Good,1,3,20,7,Reasonable
99.98,5,2,Satisfied,1,3,20,0,Need_advertisement
35.99,5,1,Satisfied,1,1,20,1,Need_advertisement
179.9,4,1,Good,1,4,10,3,Reasonable
94.9,5,1,Satisfied,1,3,20,0,Need_advertisement
222.0,5,3,Satisfied,1,4,10,6,Need_advertisement
449.0,3,2,Not Bad,1,4,20,3,Reasonable
36.0,4,2,Good,1,1,20,1,Need_advertisement
14.9,5,1,Satisfied,1,1,20,1,Need_advertisement
39.9,5,1,Satisfied,1,1,20,1,Need_advertisement
527.99,1,1,Not Satisfied,1,4,25,5,Not_Reasonable
390.0,1,1,Not Satisfied,1,4,25,5,Not_Reasonable
19.25,5,1,Satisfied,1,1,20,1,Need_advertisement
349.9,5,1,Satisfied,1,4,10,6,Need_advertisement
49.0,4,4,Good,1,2,20,4,Reasonable
229.0,4,1,Good,1,4,10,3,Reasonable
14.75923076923077,5,13,Satisfied,1,1,20,1,Need_advertisement
43.5,5,1,Satisfied,1,2,20,4,Reasonable
69.99,1,1,Not Satisfied,1,2,50,2,Quality_Improvment
27.9,5,2,Satisfied,1,1,20,1,Need_advertisement
34.89,5,1,Satisfied,1,1,20,1,Need_advertisement
68.5,5,1,Satisfied,1,2,20,4,Reasonable
79.0,4,1,Good,1,2,20,4,Reasonable
99.90000000000002,4,3,Good,1,3,20,7,Reasonable
59.9,5,1,Satisfied,1,2,20,4,Reasonable
37.0,4,1,Good,1,1,20,1,Need_advertisement
23.9,5,1,Satisfied,1,1,20,1,Need_advertisement
49.9,4,2,Good,1,2,20,4,Reasonable
76.792,5,5,Satisfied,1,2,20,4,Reasonable
521.9,3,1,Not Bad,1,4,20,3,Reasonable
39.9,4,1,Good,1,1,20,1,Need_advertisement
179.8,5,1,Satisfied,1,4,10,6,Need_advertisement
207.0,5,1,Satisfied,1,4,10,6,Need_advertisement
100.0,4,10,Good,1,3,20,7,Reasonable
69.49,5,1,Satisfied,1,2,20,4,Reasonable
270.9,4,1,Good,1,4,10,3,Reasonable
138.85818181818183,4,22,Good,1,3,20,7,Reasonable
159.9,5,5,Satisfied,1,4,10,6,Need_advertisement
39.9,2,2,Not Satisfied,1,1,50,2,Quality_Improvment
149.33,4,2,Good,1,3,20,7,Reasonable
29.9,4,1,Good,1,1,20,1,Need_advertisement
44.9,5,3,Satisfied,1,2,20,4,Reasonable
18.75,4,2,Good,1,1,20,1,Need_advertisement
57.785714285714285,4,7,Good,1,2,20,4,Reasonable
132.4,5,1,Satisfied,1,3,20,0,Need_advertisement
949.9,5,1,Satisfied,1,4,10,6,Need_advertisement
49.99,5,1,Satisfied,1,2,20,4,Reasonable
14.99,4,1,Good,1,1,20,1,Need_advertisement
24.99,2,1,Not Satisfied,1,1,50,2,Quality_Improvment
8.73,2,2,Not Satisfied,1,1,50,2,Quality_Improvment
91.24,3,8,Not Bad,1,3,20,7,Reasonable
89.90000000000002,4,3,Good,1,3,20,7,Reasonable
129.01,5,1,Satisfied,1,3,20,0,Need_advertisement
94.0,5,1,Satisfied,1,3,20,0,Need_advertisement
66.0,5,1,Satisfied,1,2,20,4,Reasonable
46.11875,4,16,Good,1,2,20,4,Reasonable
47.9,4,12,Good,1,2,20,4,Reasonable
268.88,4,2,Good,1,4,10,3,Reasonable
16.56,5,1,Satisfied,1,1,20,1,Need_advertisement
48.9,4,4,Good,1,2,20,4,Reasonable
146.65,3,1,Not Bad,1,3,20,7,Reasonable
99.99,5,2,Satisfied,1,3,20,0,Need_advertisement
84.9,5,1,Satisfied,1,3,20,0,Need_advertisement
33.9,5,1,Satisfied,1,1,20,1,Need_advertisement
10.9,4,1,Good,1,1,20,1,Need_advertisement
749.99,5,1,Satisfied,1,4,10,6,Need_advertisement
21.0,1,1,Not Satisfied,1,1,50,2,Quality_Improvment
351.055,3,2,Not Bad,1,4,20,3,Reasonable
113.9,3,1,Not Bad,1,3,20,7,Reasonable
19.9,4,1,Good,1,1,20,1,Need_advertisement
31.9,5,1,Satisfied,1,1,20,1,Need_advertisement
29.9,5,1,Satisfied,1,1,20,1,Need_advertisement
13.9,5,1,Satisfied,1,1,20,1,Need_advertisement
169.9,2,1,Not Satisfied,1,4,25,5,Not_Reasonable
83.99,5,1,Satisfied,1,3,20,0,Need_advertisement
26.99,5,1,Satisfied,1,1,20,1,Need_advertisement
118.8,5,1,Satisfied,1,3,20,0,Need_advertisement
106.34444444444445,3,18,Not Bad,1,3,20,7,Reasonable
999.99,5,1,Satisfied,1,4,10,6,Need_advertisement
21.99,5,1,Satisfied,1,1,20,1,Need_advertisement
